"","Austria"
"1996-03-01",0.00607301917567202
"1996-06-01",0.00446744643358141
"1996-09-01",0.000243639570875911
"1996-12-01",0.00660199893475701
"1997-03-01",0.00472396989425051
"1997-06-01",0.00180741442787796
"1997-09-01",0.00291173481414016
"1997-12-01",0.00391603576242532
"1998-03-01",0.00473487179127426
"1998-06-01",-0.000857670128312957
"1998-09-01",0.000246859038282054
"1998-12-01",0.00257667315308138
"1999-03-01",0.000719929355060227
"1999-06-01",-0.000863448971798516
"1999-09-01",0.00557838406812028
"1999-12-01",0.0173851509684994
"2000-03-01",0.00468880457293757
"2000-06-01",0.00445923473443446
"2000-09-01",0.00556451271291274
"2000-12-01",0.0106430893486484
"2001-03-01",0.00473427945111147
"2001-06-01",0.0138414956832463
"2001-09-01",0.00423117157144114
"2001-12-01",0.0025781025511518
"2002-03-01",0.00473670593254167
"2002-06-01",0.0124949087962698
"2002-09-01",0.0042355436417338
"2002-12-01",0.00257966922969433
"2003-03-01",0.00741903849597388
"2003-06-01",0.000472895320457709
"2003-09-01",0.0095851539476044
"2003-12-01",0.00392075097861544
"2004-03-01",0.0101033755310103
"2004-06-01",0.00981192767988908
"2004-09-01",0.00289082682312001
"2004-12-01",0.0119940392854177
"2005-03-01",0.00875430843055245
"2005-06-01",0.00446237957200563
"2005-09-01",0.0109095894061342
"2005-12-01",-0.00277135429557053
"2006-03-01",0.00607362449656532
"2006-06-01",0.0111444791520792
"2006-09-01",0.00289681737396049
"2006-12-01",0.00123925919004375
"2007-03-01",0.0101027177070846
"2007-06-01",0.0111553386165739
"2007-09-01",0.00423599880123598
"2007-12-01",0.0201194692467909
"2008-03-01",0.0100603698239276
"2008-06-01",0.0178828484865702
"2008-09-01",0.00155166106447061
"2008-12-01",-0.0107485048849349
"2009-03-01",-0.000654197862908874
"2009-06-01",0.00580461814144128
"2009-09-01",0.00554760792212649
"2009-12-01",0.00392709730532652
"2010-03-01",0.00869876413874538
"2010-06-01",0.00447103312810822
"2010-09-01",0.00553641587721906
"2010-12-01",0.0106349588064327
"2011-03-01",0.023571235190201
"2011-06-01",0.00980584728096488
"2011-09-01",0.00820759246697341
"2011-12-01",0.00258635039213468
"2012-03-01",0.0126946858961217
"2012-06-01",0.00446847146298978
"2012-09-01",0.0162089355883121
"2012-12-01",0.00392502645388039
"2013-03-01",0.00733988427812999
"2013-06-01",0.00180804773260871
"2013-09-01",0.0108319556262081
"2013-12-01",0.00658171932833653
"2014-03-01",-0.000744615830378202
"2014-06-01",0.00581323503536862
"2014-09-01",0.00547601865070252
"2014-12-01",-0.00276703063483153
"2015-03-01",0.0018036909370049
"2015-06-01",0.00714973652365694
"2015-09-01",0.000192675384020781
"2015-12-01",0.00524982539999607
"2016-03-01",-0.00342851845935177
"2016-06-01",0.00581511925614048
"2016-09-01",0.00681280360773711
"2016-12-01",0.0119801798444594
"2017-03-01",0.00334478177009325
"2017-06-01",0.00447441835903904
"2017-09-01",0.0134584904232233
"2017-12-01",0.00793960175709924
"2018-03-01",0.000610467693071461
"2018-06-01",0.00849215418672877
"2018-09-01",0.0108014262560227
"2018-12-01",0.00390848176850545
"2019-03-01",-0.000745832314005794
"2019-06-01",0.00715046779413196
"2019-09-01",0.00678760019535462
"2019-12-01",0.0119795628919115
"2020-03-01",-0.00464575337602572
"2020-06-01",-0.000908205879916929
"2020-09-01",0.00818843789252439
"2020-12-01",0.0092852532913329
"2021-03-01",0.00865355792497795
"2021-06-01",0.00983506485031706
"2021-09-01",0.0135598018030904
"2021-12-01",0.0160372116277104
"2022-03-01",0.0467528671419127
"2022-06-01",0.0368912138736669
"2022-09-01",0.0432505620654191
"2022-12-01",0.0105616197860409
"2023-03-01",0.0290803646961743
"2023-06-01",0.0192318247750071
"2023-09-01",0.0162520888421458
"2023-12-01",0.0106364550566987
"2024-03-01",0.00738726079026177
"2024-06-01",0.00582204999045197
"2024-09-01",0.000212981906733122
"2024-12-01",0.0146836051430481
"2025-02-01",0.0168319047249175
