"","x","date"
"1",0.0102717757520599,1996-03-01
"2",0.00299854597592862,1996-06-01
"3",0.00451802206521196,1996-09-01
"4",0.00492307348210574,1996-12-01
"5",0.00628485473710866,1997-03-01
"6",0.000292636790822206,1997-06-01
"7",0.00852475212339387,1997-09-01
"8",0.00358198112396155,1997-12-01
"9",0.00231301530728591,1998-03-01
"10",0.0042533976975886,1998-06-01
"11",0.00187041926870247,1998-09-01
"12",0.00223755530511656,1998-12-01
"13",0.00369391054537611,1999-03-01
"14",0.00285716450677105,1999-06-01
"15",0.0085702124412742,1999-09-01
"16",0.00623123396524171,1999-12-01
"17",0.00776390289043388,2000-03-01
"18",0.00546870624603708,2000-06-01
"19",0.0112920074750158,2000-09-01
"20",0.00889115943227116,2000-12-01
"21",0.00375567872303596,2001-03-01
"22",0.013452734729339,2001-06-01
"23",0.00332815139340076,2001-09-01
"24",0.00619342093099011,2001-12-01
"25",0.0105008017773113,2002-03-01
"26",0.00399481388110349,2002-06-01
"27",0.00737845910885001,2002-09-01
"28",0.0088516783897049,2002-12-01
"29",0.0105313045363266,2003-03-01
"30",-8.3651369025683e-05,2003-06-01
"31",0.008752802032205,2003-09-01
"32",0.00617279235501395,2003-12-01
"33",0.00656510991565462,2004-03-01
"34",0.00783243371082379,2004-06-01
"35",0.00480116142542371,2004-09-01
"36",0.0101821788669951,2004-12-01
"37",0.00658719599078855,2005-03-01
"38",0.00637582674770928,2005-06-01
"39",0.0115284939769966,2005-09-01
"40",0.00617302705603277,2005-12-01
"41",0.00399256085479758,2006-03-01
"42",0.0116232375599983,2006-06-01
"43",0.00358054901949331,2006-09-01
"44",0.00752398574414307,2006-12-01
"45",0.00535931040622028,2007-03-01
"46",0.00884299032533452,2007-06-01
"47",0.00762284353772863,2007-09-01
"48",0.0196636481047019,2007-12-01
"49",0.0120763258675699,2008-03-01
"50",0.0141555893351817,2008-06-01
"51",0.00230266090292871,2008-09-01
"52",-0.00705781444819527,2008-12-01
"53",-0.00130726477263639,2009-03-01
"54",0.00603299839517931,2009-06-01
"55",-0.00172625462935061,2009-09-01
"56",0.0089644205656527,2009-12-01
"57",0.00666796492990252,2010-03-01
"58",0.00334736872764271,2010-06-01
"59",0.00490373204153366,2010-09-01
"60",0.0143792954576291,2010-12-01
"61",0.0120474784614699,2011-03-01
"62",0.00465165399510798,2011-06-01
"63",0.00746666205018596,2011-09-01
"64",0.0117851733298654,2011-12-01
"65",0.0120701632506583,2012-03-01
"66",0.000563636187866,2012-06-01
"67",0.0114074091497955,2012-09-01
"68",0.00652702413207413,2012-12-01
"69",0.00674670921159688,2013-03-01
"70",-0.00222697720641162,2013-06-01
"71",0.00468395968655144,2013-09-01
"72",0.00397803974389776,2013-12-01
"73",0.000166619840257219,2014-03-01
"74",-0.00241007980844521,2014-06-01
"75",0.00198529156468482,2014-09-01
"76",-0.0038639389951684,2014-12-01
"77",0.00279525695786971,2015-03-01
"78",0.00541649194711435,2015-06-01
"79",-0.00200905671371232,2015-09-01
"80",-0.00243437780428237,2015-12-01
"81",-0.00242382378469958,2016-03-01
"82",0.00659986050222729,2016-06-01
"83",0.00327846918221421,2016-09-01
"84",0.00563569930630824,2016-12-01
"85",0.00313345227263649,2017-03-01
"86",0.00377051114629518,2017-06-01
"87",0.00591114337186513,2017-09-01
"88",0.00307813316122729,2017-12-01
"89",0.00450531717492532,2018-03-01
"90",0.0103772052512801,2018-06-01
"91",0.00858440167700382,2018-09-01
"92",-0.00352031375801268,2018-12-01
"93",0.00321539770888995,2019-03-01
"94",0.00893599821755844,2019-06-01
"95",0.000571378108509172,2019-09-01
"96",0.00316164613953425,2019-12-01
"97",-0.00468899654008719,2020-03-01
"98",0.00218529137115668,2020-06-01
"99",-0.00606870180281876,2020-09-01
"100",0.00452375574044908,2020-12-01
"101",0.016821987401543,2021-03-01
"102",0.0115837951846479,2021-06-01
"103",0.0138893611848504,2021-09-01
"104",0.0234441255271086,2021-12-01
"105",0.0481207163258813,2022-03-01
"106",0.0251033443190995,2022-06-01
"107",0.0286550500207314,2022-09-01
"108",0.0153139328303362,2022-12-01
"109",0.0195055720808529,2023-03-01
"110",0.00745823444928177,2023-06-01
"111",0.0124451371195176,2023-09-01
"112",-0.00191001959942934,2023-12-01
"113",0.012741069837088,2024-03-01
"114",0.00878282428167134,2024-06-01
"115",0.00310241998998995,2024-09-01
"116",0.0074214671959053,2024-12-01
"117",0.000741088089867558,2025-03-01
