"","Malta"
"1996-03-01",0.00716016135418889
"1996-06-01",0.0129359865982202
"1996-09-01",0.0123079969712409
"1996-12-01",0.00336098994308501
"1997-03-01",0.0256825280183803
"1997-06-01",0.010901492030189
"1997-09-01",0.0125452048418063
"1997-12-01",0.0118493216899247
"1998-03-01",0.0140659187948754
"1998-06-01",0.0148529894658935
"1998-09-01",0.00575365473129065
"1998-12-01",0.00430411027538549
"1999-03-01",0.00995067441599207
"1999-06-01",0.00464520643563461
"1999-09-01",0.00907538358084374
"1999-12-01",0.030743442472393
"2000-03-01",0.000670553151298578
"2000-06-01",0.00429100772040317
"2000-09-01",0.00653445647343437
"2000-12-01",0.003906834527636
"2001-03-01",0.00972742571430888
"2001-06-01",0.0186524920646416
"2001-09-01",0.011936079842565
"2001-12-01",0.00840535132079672
"2002-03-01",0.00380247282791672
"2002-06-01",0.0051992377514249
"2002-09-01",0.0122629325239641
"2002-12-01",0.00595827186248621
"2003-03-01",0.00773795452972459
"2003-06-01",0.00131793013201802
"2003-09-01",0.00699621908338122
"2003-12-01",0.0162000505453948
"2004-03-01",0.00514986755175638
"2004-06-01",0.0166608855136873
"2004-09-01",0.00690597185792151
"2004-12-01",0.000454300408551822
"2005-03-01",0.0123770067939939
"2005-06-01",0.0102710367299383
"2005-09-01",0.00504704450423631
"2005-12-01",0.0180347325585229
"2006-03-01",0.00664687475547463
"2006-06-01",0.0151188351351871
"2006-09-01",0.00197939734727167
"2006-12-01",-0.0106343471995138
"2007-03-01",0.00212860016365233
"2007-06-01",0.00289613978001384
"2007-09-01",0.0190960472218259
"2007-12-01",0.0158973346725746
"2008-03-01",0.0176356217219468
"2008-06-01",0.0062798521888035
"2008-09-01",0.0258193466478626
"2008-12-01",0.0160342816706424
"2009-03-01",0.00313808596382099
"2009-06-01",-0.00940448030420937
"2009-09-01",0.0012897368270729
"2009-12-01",-0.00030190020389597
"2010-03-01",0.0175702705712854
"2010-06-01",0.00420493179533928
"2010-09-01",0.0133575513352102
"2010-12-01",0.0205527478906217
"2011-03-01",0.00102346359832852
"2011-06-01",0.00412095321347274
"2011-09-01",0.0125366100570188
"2011-12-01",0.00507208432864031
"2012-03-01",0.0155903059505917
"2012-06-01",0.0240961160832227
"2012-09-01",-0.0024626808630042
"2012-12-01",0.00197522532975569
"2013-03-01",-0.0014935061574067
"2013-06-01",0.0091020876547506
"2013-09-01",-0.000766477149929223
"2013-12-01",0.00846934149159783
"2014-03-01",0.00471378443127448
"2014-06-01",-0.00147326020271321
"2014-09-01",-0.000124603349998855
"2014-12-01",0.00702549296319608
"2015-03-01",0.00595474647904822
"2015-06-01",0.00511928098467322
"2015-09-01",0.00381483372269386
"2015-12-01",0.00494214943196252
"2016-03-01",0.00189398170456061
"2016-06-01",0.0034682948881018
"2016-09-01",0.00217014838176438
"2016-12-01",0.00847014930784318
"2017-03-01",0.00445028653993504
"2017-06-01",0.000258240617080213
"2017-09-01",0.00417480765050102
"2017-12-01",0.0116643419265745
"2018-03-01",0.00549246620844698
"2018-06-01",0.00745770452289733
"2018-09-01",0.00992624461979204
"2018-12-01",0.000286952226794673
"2019-03-01",0.00616133442067967
"2019-06-01",0.0104406349047449
"2019-09-01",0.00825631095972135
"2019-12-01",-0.000628778646511896
"2020-03-01",0.0028676852285793
"2020-06-01",0.0059149577030036
"2020-09-01",0.000540448212167982
"2020-12-01",-0.00407802550384536
"2021-03-01",0.0021964432982168
"2021-06-01",0.00658734179865837
"2021-09-01",0.0102561902891003
"2021-12-01",0.0225182762017801
"2022-03-01",0.0259012978418726
"2022-06-01",0.0271174509597212
"2022-09-01",0.0262050695834018
"2022-12-01",0.0212074826701324
"2023-03-01",0.0242055380418988
"2023-06-01",0.013746239174978
"2023-09-01",0.00852629038509327
"2023-12-01",0.00539196095863604
"2024-03-01",0.0101092170625245
"2024-06-01",0.0072830343970828
"2024-09-01",0.00773468737768997
"2024-12-01",0.00424501247385924
"2025-02-01",-0.00063294836465593
