"","Netherlands"
"1996-03-01",0.00811731116585624
"1996-06-01",0.00260156688404214
"1996-09-01",0.0025784232475683
"1996-12-01",0.00948820150910945
"1997-03-01",0.00169302344942196
"1997-06-01",0.00609304794238421
"1997-09-01",0.0158578324763926
"1997-12-01",0.00630936095462725
"1998-03-01",0.00113379327358797
"1998-06-01",0.00534357545352919
"1998-09-01",0.0047306549279524
"1998-12-01",0.00982533381270011
"1999-03-01",0.00795763857312368
"1999-06-01",0.00583541622473809
"1999-09-01",0.00435145384660965
"1999-12-01",0.00995407791383367
"2000-03-01",0.00112375630303398
"2000-06-01",0.0170516347079671
"2000-09-01",0.0103053021215589
"2000-12-01",0.0119334563948657
"2001-03-01",0.0261632162738683
"2001-06-01",0.0172189482760532
"2001-09-01",0.0129485174799351
"2001-12-01",0.0106150548526324
"2002-03-01",0.0155586093975014
"2002-06-01",0.00951387483308371
"2002-09-01",0.0110504560502464
"2002-12-01",0.00595976360716452
"2003-03-01",0.00851730302477605
"2003-06-01",0.00160524973329453
"2003-09-01",0.00950321006259249
"2003-12-01",0.00222585457096747
"2004-03-01",0.0045993679438027
"2004-06-01",0.00495004700315962
"2004-09-01",0.00466486959610702
"2004-12-01",0.00195845745003055
"2005-03-01",0.00899809385242671
"2005-06-01",0.00301878052690084
"2005-09-01",0.00944861121779224
"2005-12-01",0.00514824802072821
"2006-03-01",0.000287680675698957
"2006-06-01",0.00866344540559867
"2006-09-01",0.00817797787607044
"2006-12-01",0.00823578015899705
"2007-03-01",0.00284929333133881
"2007-06-01",0.0066856631042441
"2007-09-01",0.000434139601703961
"2007-12-01",0.0117528528565963
"2008-03-01",0.00627070338171692
"2008-06-01",0.0117458000291739
"2008-09-01",0.00797817180284394
"2008-12-01",-0.0039447626902849
"2009-03-01",0.00809321244500252
"2009-06-01",0.00551294342269383
"2009-09-01",-0.00875307998340193
"2009-12-01",0.00555039964291454
"2010-03-01",0.00669600766368912
"2010-06-01",-6.10338125853855e-05
"2010-09-01",0.00515883695516486
"2010-12-01",0.00903265114915913
"2011-03-01",0.00887047136324228
"2011-06-01",0.00839440640417803
"2011-09-01",0.0121966735018671
"2011-12-01",0.00479244386823728
"2012-03-01",0.0140228192600952
"2012-06-01",0.00322577821801108
"2012-09-01",0.0129888716425144
"2012-12-01",0.0145134433166269
"2013-03-01",0.0131154098375774
"2013-06-01",0.000778709901952385
"2013-09-01",0.00341016787120319
"2013-12-01",0.000903144218743754
"2014-03-01",-0.000635757782695996
"2014-06-01",-0.000101824393479498
"2014-09-01",0.00198940294728901
"2014-12-01",-0.00210306968652984
"2015-03-01",-0.00093256009571621
"2015-06-01",0.00846527187467284
"2015-09-01",-0.000526319377772665
"2015-12-01",-0.00165958694196128
"2016-03-01",0.00113219985331135
"2016-06-01",-0.00183239377266379
"2016-09-01",0.000806373730441425
"2016-12-01",0.00913326367048198
"2017-03-01",0.000915784589601809
"2017-06-01",0.0021339680414597
"2017-09-01",0.00730174278636572
"2017-12-01",0.00499084260133412
"2018-03-01",-6.47267273825979e-05
"2018-06-01",0.00854451868293579
"2018-09-01",0.00620646297406029
"2018-12-01",0.00904221512919764
"2019-03-01",0.015646293020753
"2019-06-01",0.00583649631637041
"2019-09-01",0.0048650511432544
"2019-12-01",0.00913756759366211
"2020-03-01",-0.00564640036514539
"2020-06-01",0.0123741722126706
"2020-09-01",-0.00350118918636461
"2020-12-01",0.0113541004996661
"2021-03-01",0.0066994866226112
"2021-06-01",0.00817672135611158
"2021-09-01",0.00953229034769931
"2021-12-01",0.0567403883055278
"2022-03-01",0.0735856392318723
"2022-06-01",-0.0121268780664416
"2022-09-01",0.0985095656529063
"2022-12-01",-0.0123103103195537
"2023-03-01",-0.00922673462709072
"2023-06-01",0.0103339377631035
"2023-09-01",0.00836851828715825
"2023-12-01",0.00496809120933037
"2024-03-01",0.0188114608419691
"2024-06-01",0.0141796618467335
"2024-09-01",0.00765069049610814
"2024-12-01",0.0125469201096043
"2025-02-01",0.0054753656998943
