"","Greece"
"1996-03-01",0.0325839537379394
"1996-06-01",0.021259116277336
"1996-09-01",0.0196127877872854
"1996-12-01",0.0219672881912885
"1997-03-01",0.0136022194087373
"1997-06-01",0.0180369166684621
"1997-09-01",0.0109559813000508
"1997-12-01",0.0166989566382803
"1998-03-01",0.0131052126761184
"1998-06-01",0.0248607578229407
"1998-09-01",0.0120308033031272
"1998-12-01",-0.000684283496469538
"1999-03-01",0.00536547921158512
"1999-06-01",0.00509753826200207
"1999-09-01",0.00793561309481127
"1999-12-01",0.0129359936766246
"2000-03-01",0.0110355268243283
"2000-06-01",0.00162399810873836
"2000-09-01",0.0175903905208735
"2000-12-01",0.0192208160434655
"2001-03-01",0.00322589075871192
"2001-06-01",0.0180939945921964
"2001-09-01",0.0105986879481555
"2001-12-01",0.013114574094528
"2002-03-01",0.0125293168360239
"2002-06-01",0.00961767255147535
"2002-09-01",0.0128469778042054
"2002-12-01",0.0100430701226028
"2003-03-01",0.0168286257553776
"2003-06-01",0.00623168135170743
"2003-09-01",0.00850905290324836
"2003-12-01",0.00943192290961165
"2004-03-01",0.0150942764965827
"2004-06-01",0.00734863825005375
"2004-09-01",0.00794610436966271
"2004-12-01",0.01140671437516
"2005-03-01",0.011741967886235
"2005-06-01",0.0106197215686143
"2005-09-01",0.0137553065733101
"2005-12-01",0.00944517220155484
"2006-03-01",0.0100209693164589
"2006-06-01",0.0110483110944372
"2006-09-01",0.00928987141851292
"2006-12-01",0.0113054911665416
"2007-03-01",0.00552585216778676
"2007-06-01",0.0103281964511136
"2007-09-01",0.0126770229721822
"2007-12-01",0.0245696221306795
"2008-03-01",0.0124264443478871
"2008-06-01",0.0147468508617907
"2008-09-01",0.0078271983896051
"2008-12-01",-0.00667513415316193
"2009-03-01",0.0039692833842852
"2009-06-01",0.00359907854246175
"2009-09-01",0.00996351462368032
"2009-12-01",0.0170458895696161
"2010-03-01",0.0210527410344155
"2010-06-01",0.0191525557227472
"2010-09-01",0.0147088095729278
"2010-12-01",0.01279086621322
"2011-03-01",0.010460447851457
"2011-06-01",0.00380111677599393
"2011-09-01",0.0104208073481434
"2011-12-01",0.00448539546821439
"2012-03-01",0.000196746352690315
"2012-06-01",-0.00421443936920263
"2012-09-01",0.001429600808547
"2012-12-01",0.00582032131468666
"2013-03-01",-0.00759389331573912
"2013-06-01",-0.00504169590357108
"2013-09-01",-0.00763435615164372
"2013-12-01",-0.00220640868652725
"2014-03-01",-0.00396808521155232
"2014-06-01",-0.00755615389979886
"2014-09-01",-0.00323371879476796
"2014-12-01",-0.017301468764595
"2015-03-01",0.00510124965891591
"2015-06-01",0.000528133333110407
"2015-09-01",0.0013180889832325
"2015-12-01",-0.00041769720222555
"2016-03-01",-0.00854656575128341
"2016-06-01",0.0105076423784755
"2016-09-01",-0.00189852256860678
"2016-12-01",0.00288166438107978
"2017-03-01",0.00998393284416278
"2017-06-01",-0.0010101795611695
"2017-09-01",0.000635278564274292
"2017-12-01",0.00373684405372615
"2018-03-01",0.0011466242639976
"2018-06-01",0.00874840713405039
"2018-09-01",0.00136979085754132
"2018-12-01",-0.00217356256311495
"2019-03-01",0.0055987292832654
"2019-06-01",-0.0024087794194953
"2019-09-01",-0.000778321160072102
"2019-12-01",0.00881930691667026
"2020-03-01",-0.00530588396491285
"2020-06-01",-0.032425644322148
"2020-09-01",-0.00604533537855799
"2020-12-01",0.0105962892266974
"2021-03-01",0.000181429328530132
"2021-06-01",0.00451585678323308
"2021-09-01",0.00880381758299436
"2021-12-01",0.0447861051720745
"2022-03-01",0.046932199284657
"2022-06-01",0.0496676014602945
"2022-09-01",0.0133857127750323
"2022-12-01",-0.00728293428039095
"2023-03-01",0.0178188344813938
"2023-06-01",0.0138349650310112
"2023-09-01",0.00619880774352144
"2023-12-01",0.00956586263380927
"2024-03-01",0.0146370594500125
"2024-06-01",0.00220145710589193
"2024-09-01",0.0129864189238973
"2024-12-01",0.0076003701984298
"2025-02-01",-0.00611445870779863
