"","Finland"
"1996-03-01",0.00581046262832217
"1996-06-01",0.0029790711184086
"1996-09-01",0.00114706171136659
"1996-12-01",0.00394980094245031
"1997-03-01",0.00317244680543419
"1997-06-01",0.00623881941591688
"1997-09-01",0.00640137541863583
"1997-12-01",0.00587095500600758
"1998-03-01",0.00350351362916387
"1998-06-01",0.00475414752089526
"1998-09-01",0.00361980412845777
"1998-12-01",0.000365762680536247
"1999-03-01",0.00326102268504249
"1999-06-01",0.00877055624995915
"1999-09-01",0.00722247560509492
"1999-12-01",0.0124942657446693
"2000-03-01",0.0137722296444907
"2000-06-01",0.00871657742347751
"2000-09-01",0.0109047569167773
"2000-12-01",0.00678369635754961
"2001-03-01",0.00732792069283922
"2001-06-01",0.0138355043777805
"2001-09-01",0.00692921635231904
"2001-12-01",0.00380157900742818
"2002-03-01",0.00900445486524284
"2002-06-01",0.00394232282567459
"2002-09-01",0.00388693378443819
"2002-12-01",0.00538006168157992
"2003-03-01",0.00976444119226296
"2003-06-01",-0.000751634677036186
"2003-09-01",0.00212301153926407
"2003-12-01",0.00184226453760445
"2004-03-01",-0.00619518911118072
"2004-06-01",0.00108204509468936
"2004-09-01",0.00276380147575096
"2004-12-01",0.00222290200620202
"2005-03-01",0.00293426980160497
"2005-06-01",0.00305565582588798
"2005-09-01",0.00680729032379238
"2005-12-01",0.0017085224532639
"2006-03-01",0.004549933150376
"2006-06-01",0.00512565967876483
"2006-09-01",0.00128294320467879
"2006-12-01",0.00604455622114203
"2007-03-01",0.00641588347807521
"2007-06-01",0.00403241729595085
"2007-09-01",0.00497294943390203
"2007-12-01",0.0115956951946565
"2008-03-01",0.028571626077063
"2008-06-01",0.0113735572216293
"2008-09-01",0.0104929346051988
"2008-12-01",-0.00156838718008366
"2009-03-01",0.0088374991807603
"2009-06-01",0.00568350080349968
"2009-09-01",0.00360524381138368
"2009-12-01",0.00415816296265268
"2010-03-01",0.00462325246879176
"2010-06-01",0.0069555608410994
"2010-09-01",0.00874600659187993
"2010-12-01",0.0160571372324435
"2011-03-01",0.0123685816285339
"2011-06-01",0.0094080899647359
"2011-09-01",0.00772335982377843
"2011-12-01",0.0079733536985376
"2012-03-01",0.015975238655585
"2012-06-01",0.00826913423765811
"2012-09-01",0.011283262751955
"2012-12-01",0.00655243372149153
"2013-03-01",0.00687329340444779
"2013-06-01",0.00625380316894944
"2013-09-01",0.00361899372459024
"2013-12-01",0.00780231447800135
"2014-03-01",0.00305122912446938
"2014-06-01",0.00101893599297974
"2014-09-01",0.00632748497632132
"2014-12-01",-0.00311228892856951
"2015-03-01",-0.00126139558767328
"2015-06-01",-0.000160054650697794
"2015-09-01",-0.0010265119050216
"2015-12-01",0.000726235492844228
"2016-03-01",0.00224977280890867
"2016-06-01",0.00377299946940194
"2016-09-01",0.00210791688880158
"2016-12-01",0.00557492817232491
"2017-03-01",0.000453381370845817
"2017-06-01",0.00190567945343611
"2017-09-01",0.00156999062128754
"2017-12-01",0.00241813503571872
"2018-03-01",0.00511114900549237
"2018-06-01",0.00501933595110436
"2018-09-01",0.00398024439984814
"2018-12-01",0.00304457616264052
"2019-03-01",0.00277992328319025
"2019-06-01",0.0057386655108023
"2019-09-01",0.00170920180805218
"2019-12-01",0.00205472089145117
"2020-03-01",-0.00202685892881869
"2020-06-01",-0.001489893184155
"2020-09-01",0.00436312168405854
"2020-12-01",0.00147435278692746
"2021-03-01",0.00940843364343705
"2021-06-01",0.00869975362473324
"2021-09-01",0.00762039295944575
"2021-12-01",0.0122422258757747
"2022-03-01",0.0437119029029768
"2022-06-01",0.0411926555299828
"2022-09-01",0.0139261420312095
"2022-12-01",0.0169631240533022
"2023-03-01",0.0135240773785531
"2023-06-01",0.00648429825935951
"2023-09-01",0.00174498797757389
"2023-12-01",-0.00200334738511853
"2024-03-01",0.00394472302697155
"2024-06-01",0.00341907208665103
"2024-09-01",0.00573796820488518
"2024-12-01",0.00715695431326585
"2025-02-01",0.00699984035545435
